KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
3/29/2016 10:37:04 AM	154.95	4.301	21.090
3/29/2016 10:37:06 AM	156.56	4.325	21.090
3/29/2016 10:37:08 AM	158.14	4.440	21.090
3/29/2016 10:37:09 AM	159.76	4.325	21.090
3/29/2016 10:37:11 AM	161.37	4.511	21.100
3/29/2016 10:37:12 AM	162.97	4.531	21.100
3/29/2016 10:37:14 AM	164.55	4.466	21.100
3/29/2016 10:37:16 AM	166.15	4.419	21.100
3/29/2016 10:37:17 AM	167.76	4.343	21.100
3/29/2016 10:37:19 AM	169.31	4.322	21.100
3/29/2016 10:37:20 AM	170.94	4.328	21.100
3/29/2016 10:37:22 AM	172.72	4.323	21.100
3/29/2016 10:37:24 AM	174.24	4.528	21.100
3/29/2016 10:37:25 AM	175.84	4.477	21.100
3/29/2016 10:37:27 AM	177.45	4.536	21.100
3/29/2016 10:37:28 AM	179.06	4.440	21.100
3/29/2016 10:37:30 AM	180.66	4.385	21.100
3/29/2016 10:37:32 AM	182.24	4.347	21.100
3/29/2016 10:37:33 AM	184.03	4.487	21.100
3/29/2016 10:37:35 AM	185.59	4.570	21.100
3/29/2016 10:37:37 AM	187.25	4.392	21.100
3/29/2016 10:37:38 AM	188.89	4.471	21.100
3/29/2016 10:37:40 AM	190.49	4.421	21.100
3/29/2016 10:37:42 AM	192.16	4.346	21.090
3/29/2016 10:37:43 AM	193.78	4.322	21.090
3/29/2016 10:37:45 AM	195.37	4.353	21.090
3/29/2016 10:37:46 AM	197.06	4.313	21.090
3/29/2016 10:37:48 AM	198.91	4.526	21.090
3/29/2016 10:37:50 AM	200.62	4.534	21.090
3/29/2016 10:37:52 AM	202.38	4.489	21.090
3/29/2016 10:37:54 AM	204.17	4.498	21.090
3/29/2016 10:37:55 AM	205.81	4.571	21.090
3/29/2016 10:37:57 AM	207.76	4.517	21.090
3/29/2016 10:37:59 AM	209.35	4.393	21.090
3/29/2016 10:38:00 AM	210.94	4.411	21.100
3/29/2016 10:38:02 AM	212.68	4.427	21.100
3/29/2016 10:38:04 AM	214.28	4.322	21.100
3/29/2016 10:38:05 AM	215.92	4.427	21.100
3/29/2016 10:38:07 AM	217.59	4.481	21.100
3/29/2016 10:38:09 AM	219.27	4.311	21.100
3/29/2016 10:38:10 AM	220.91	4.571	21.100
3/29/2016 10:38:12 AM	222.55	4.449	21.100
3/29/2016 10:38:14 AM	224.19	4.389	21.100
3/29/2016 10:38:15 AM	225.75	4.306	21.100
3/29/2016 10:38:17 AM	227.35	4.313	21.100
3/29/2016 10:38:18 AM	228.93	4.522	21.100
3/29/2016 10:38:20 AM	230.60	4.545	21.100
3/29/2016 10:38:22 AM	232.49	4.506	21.100
3/29/2016 10:38:24 AM	234.36	4.330	21.100
3/29/2016 10:38:25 AM	235.95	4.505	21.100
3/29/2016 10:38:27 AM	237.60	4.424	21.100
3/29/2016 10:38:29 AM	239.26	4.343	21.100
3/29/2016 10:38:30 AM	240.90	4.325	21.100
3/29/2016 10:38:32 AM	242.53	4.404	21.100
3/29/2016 10:38:34 AM	244.16	4.341	21.100
3/29/2016 10:38:35 AM	245.82	4.493	21.100
3/29/2016 10:38:37 AM	247.46	4.564	21.100
3/29/2016 10:38:38 AM	249.13	4.432	21.100
3/29/2016 10:38:40 AM	250.77	4.360	21.110
3/29/2016 10:38:42 AM	252.44	4.390	21.110
3/29/2016 10:38:43 AM	254.08	4.305	21.110
3/29/2016 10:38:45 AM	255.81	4.315	21.110
3/29/2016 10:38:47 AM	257.42	4.532	21.110
3/29/2016 10:38:48 AM	259.07	4.518	21.110
3/29/2016 10:38:50 AM	260.66	4.531	21.110
3/29/2016 10:38:52 AM	262.27	4.458	21.110
3/29/2016 10:38:53 AM	264.00	4.398	21.110
3/29/2016 10:38:55 AM	265.56	4.302	21.110
3/29/2016 10:38:57 AM	267.26	4.309	21.110
3/29/2016 10:38:58 AM	268.94	4.317	21.110
3/29/2016 10:39:00 AM	270.58	4.465	21.110
3/29/2016 10:39:02 AM	272.25	4.513	21.110
3/29/2016 10:39:03 AM	273.86	4.464	21.110
3/29/2016 10:39:05 AM	275.50	4.405	21.110
3/29/2016 10:39:07 AM	277.16	4.300	21.110
3/29/2016 10:39:08 AM	278.83	4.304	21.110
3/29/2016 10:39:10 AM	280.47	4.311	21.110
3/29/2016 10:39:12 AM	282.14	4.490	21.110
3/29/2016 10:39:13 AM	283.75	4.527	21.110
3/29/2016 10:39:15 AM	285.39	4.378	21.110
3/29/2016 10:39:16 AM	286.99	4.316	21.110
3/29/2016 10:39:18 AM	288.63	4.408	21.110
3/29/2016 10:39:20 AM	290.30	4.299	21.110
3/29/2016 10:39:21 AM	291.91	4.307	21.120
3/29/2016 10:39:23 AM	293.54	4.533	21.120
3/29/2016 10:39:25 AM	295.21	4.439	21.120
3/29/2016 10:39:26 AM	296.93	4.528	21.120
3/29/2016 10:39:28 AM	298.60	4.456	21.120
3/29/2016 10:39:30 AM	300.27	4.388	21.120
3/29/2016 10:39:31 AM	301.84	4.375	21.120
3/29/2016 10:39:33 AM	303.51	4.487	21.120
3/29/2016 10:39:35 AM	305.17	4.518	21.120
3/29/2016 10:39:36 AM	306.81	4.531	21.120
3/29/2016 10:39:38 AM	308.47	4.574	21.120
3/29/2016 10:39:39 AM	310.11	4.313	21.120
3/29/2016 10:39:41 AM	311.75	4.307	21.120
3/29/2016 10:39:43 AM	313.47	4.318	21.120
3/29/2016 10:39:44 AM	315.10	4.470	21.120
3/29/2016 10:39:46 AM	316.88	4.527	21.120
3/29/2016 10:39:48 AM	318.63	4.515	21.120
3/29/2016 10:39:50 AM	320.24	4.458	21.120
3/29/2016 10:39:51 AM	322.06	4.387	21.120
3/29/2016 10:39:53 AM	323.67	4.316	21.120
3/29/2016 10:39:55 AM	325.32	4.315	21.120
3/29/2016 10:39:56 AM	326.96	4.374	21.120
3/29/2016 10:39:58 AM	328.69	4.494	21.120
3/29/2016 10:40:00 AM	330.30	4.475	21.120
3/29/2016 10:40:01 AM	332.06	4.476	21.130
3/29/2016 10:40:03 AM	333.70	4.399	21.130
3/29/2016 10:40:05 AM	335.31	4.306	21.130
3/29/2016 10:40:06 AM	337.07	4.341	21.130
3/29/2016 10:40:08 AM	338.69	4.333	21.130
3/29/2016 10:40:10 AM	340.42	4.515	21.130
3/29/2016 10:40:11 AM	342.06	4.537	21.130
3/29/2016 10:40:13 AM	343.68	4.414	21.130
3/29/2016 10:40:15 AM	345.35	4.299	21.130
3/29/2016 10:40:16 AM	347.01	4.300	21.130
3/29/2016 10:40:18 AM	348.80	4.303	21.130
3/29/2016 10:40:20 AM	350.38	4.530	21.130
3/29/2016 10:40:21 AM	352.08	4.563	21.130
3/29/2016 10:40:23 AM	353.73	4.544	21.130
3/29/2016 10:40:25 AM	355.40	4.447	21.130
3/29/2016 10:40:26 AM	357.13	4.363	21.130
3/29/2016 10:40:28 AM	358.77	4.324	21.130
3/29/2016 10:40:30 AM	360.48	4.321	21.130
3/29/2016 10:40:32 AM	362.18	4.390	21.140
3/29/2016 10:40:33 AM	363.82	4.494	21.140
3/29/2016 10:40:35 AM	365.52	4.480	21.140
3/29/2016 10:40:37 AM	367.21	4.489	21.140
3/29/2016 10:40:38 AM	368.86	4.409	21.140
