Cup Number,Detection Date,Sample ID,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,,,,,,,,,,,,,,,
31,3/17/2016,jrad_CEC_6,Nitrate,mg/L,-0.057,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,-0.001742,Ammonia,mg N/L as NH3,3.025,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,21.46,,,KF-Ap-6,,4.201388889,,,,,,NK-Bt,1.660555556,,,
32,3/17/2016,jrad_CEC_7,Nitrate,mg/L,-0.034,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.015,Ammonia,mg N/L as NH3,3.103,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,21.983,,,KF-Bt-1,,4.309722222,,,,,,NK-Bt,1.826388889,,,
33,3/17/2016,jrad_CEC_8,Nitrate,mg/L,-0.028,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.02,Ammonia,mg N/L as NH3,3.215,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,22.735,,,KF-Bt-2,,4.465277778,,,,,,,,,,
34,3/17/2016,jrad_CEC_9,Nitrate,mg/L,-0.071,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,-0.012,Ammonia,mg N/L as NH3,2.602,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,18.617,,,KF-Bt-3,,3.613888889,,,,,,,,,,
35,3/17/2016,jrad_CEC_10,Nitrate,mg/L,-0.051,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.00279,Ammonia,mg N/L as NH3,2.707,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,19.324,,,KF-Bt-4,,3.759722222,,,,,,,,,,
36,3/17/2016,jrad_CEC_11,Nitrate,mg/L,-0.056,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,-0.001501,Ammonia,mg N/L as NH3,3.808,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,26.692,,,KF-Bt-5,,5.288888889,,,,,,,,,,
37,3/17/2016,jrad_CEC_12,Nitrate,mg/L,-0.054,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.000106,Ammonia,mg N/L as NH3,3.888,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,27.22,,,KF-Bt-6,,5.4,,,,,,,,,,
38,3/17/2016,jrad_CEC_13,Nitrate,mg/L,-0.026,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.021,Ammonia,mg N/L as NH3,2.565,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,18.362,,,NK-Ap-1,,3.5625,,,,,,,,,,
39,3/17/2016,jrad_CEC_14,Nitrate,mg/L,-0.034,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.015,Ammonia,mg N/L as NH3,2.555,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,18.297,,,NK-Ap-2,,3.548611111,,,,,,,,,,
40,3/17/2016,jrad_CEC_15,Nitrate,mg/L,-0.06,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,-0.004015,Ammonia,mg N/L as NH3,2.448,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,17.574,,,NK-Ap-3,,3.4,,,,,,,,,,
41,3/17/2016,jrad_CEC_16,Nitrate,mg/L,-0.032,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.017,Ammonia,mg N/L as NH3,2.166,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,15.665,,,NK-Ap-4,,3.008333333,,,,,,,,,,
42,3/17/2016,jrad_CEC_17,Nitrate,mg/L,-0.043,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.008172,Ammonia,mg N/L as NH3,3.129,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,22.16,,,NK-Ap-5,,4.345833333,,,,,,,,,,
43,3/17/2016,jrad_CEC_18,Nitrate,mg/L,-0.045,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.006755,Ammonia,mg N/L as NH3,2.154,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,15.581,,,NK-Ap-6,,2.991666667,,,,,,,,,,
S3,3/17/2016,5ppm NO3, 5ppm NH4 check,Nitrate,mg/L,4.735,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,3.473,Ammonia,mg N/L as NH3,5.026,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,34.72,,,,,,,,,,,,,,
